region,Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI,location_word,lat,long
Brazil,1964-0005-BRA,1964,0005,Natural,Hydrological,Flood,NA,NA,NA,Kill,Brazil,BRA,South America,Americas,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1964,1,NA,1964,1,NA,100,NA,100000,NA,100000,NA,NA,NA,12.1321174880359,bahia ,-12.97111,-38.51083
Brazil,1964-0022-BRA,1964,0022,Natural,Hydrological,Flood,NA,NA,NA,Affect,Brazil,BRA,South America,Americas,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1964,4,NA,1964,4,NA,NA,NA,15000,NA,15000,NA,NA,NA,12.1321174880359,northeastern ,NA,NA
Brazil,1964-0041-BRA,1964,0041,Natural,Hydrological,Flood,NA,NA,NA,Affect,Brazil,BRA,South America,Americas,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1964,7,5,1964,7,5,NA,NA,5000,NA,5000,NA,NA,500,12.1321174880359,paraiba,-7.115,-34.86306
Brazil,1964-0041-BRA,1964,0041,Natural,Hydrological,Flood,NA,NA,NA,Affect,Brazil,BRA,South America,Americas,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1964,7,5,1964,7,5,NA,NA,5000,NA,5000,NA,NA,500,12.1321174880359, rio grande do norte,-3.10194,-60.025
Brazil,1965-0030-BRA,1965,0030,Natural,Hydrological,Flood,NA,NA,NA,Kill,Brazil,BRA,South America,Americas,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1965,6,NA,1965,6,NA,16,NA,30000,NA,30000,NA,NA,7000,12.3244326683639,pernambuco,-8.05389,-34.88111
Brazil,1965-0030-BRA,1965,0030,Natural,Hydrological,Flood,NA,NA,NA,Kill,Brazil,BRA,South America,Americas,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1965,6,NA,1965,6,NA,16,NA,30000,NA,30000,NA,NA,7000,12.3244326683639, recife,-8.05389,-34.88111
Brazil,1965-0047-BRA,1965,0047,Natural,Hydrological,Flood,NA,NA,NA,Affect,Brazil,BRA,South America,Americas,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1965,8,16,1965,8,16,6,NA,200000,40000,240000,NA,NA,10000,12.3244326683639,south,-23.5475,-46.63611
Brazil,1966-0019-BRA,1966,0019,Natural,Hydrological,Landslide,Landslide,NA,NA,Kill,Brazil,BRA,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1966,1,11,1966,1,11,350,NA,4000000,NA,4000000,NA,NA,27,12.6960281686485,rio de janeiro,-22.90642,-43.18223
Brazil,1966-0017-BRA,1966,0017,Natural,Hydrological,Flood,NA,NA,NA,Kill,Brazil,BRA,South America,Americas,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1966,1,11,1966,1,11,373,1700,51881,NA,53581,NA,NA,51000,12.6960281686485,rio,-22.90642,-43.18223
Brazil,1966-0017-BRA,1966,0017,Natural,Hydrological,Flood,NA,NA,NA,Kill,Brazil,BRA,South America,Americas,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1966,1,11,1966,1,11,373,1700,51881,NA,53581,NA,NA,51000,12.6960281686485, guanabara,-22.81559,-43.19976
Brazil,1966-0044-BRA,1966,0044,Natural,Hydrological,Flood,NA,NA,NA,Kill,Brazil,BRA,South America,Americas,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1966,5,21,1966,5,21,147,57,125500,29000,154557,NA,NA,9914,12.6960281686485,salvador,-12.97111,-38.51083
Brazil,1966-0044-BRA,1966,0044,Natural,Hydrological,Flood,NA,NA,NA,Kill,Brazil,BRA,South America,Americas,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1966,5,21,1966,5,21,147,57,125500,29000,154557,NA,NA,9914,12.6960281686485, recife,-8.05389,-34.88111
Brazil,1967-0028-BRA,1967,0028,Natural,Hydrological,Landslide,Landslide,NA,NA,Kill,Brazil,BRA,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967,3,19,1967,3,19,436,NA,NA,NA,NA,NA,NA,NA,13.048062107494,rio de janeiro,-22.90642,-43.18223
Brazil,1967-0015-BRA,1967,0015,Natural,Hydrological,Flood,NA,NA,NA,Kill,Brazil,BRA,South America,Americas,NA,NA,NA,Yes,No,No,NA,NA,Km2,NA,NA,NA,NA,1967,1,23,1967,1,23,785,1257,20836,NA,22093,NA,NA,7800,13.048062107494, rio,-22.90642,-43.18223
Brazil,1967-0015-BRA,1967,0015,Natural,Hydrological,Flood,NA,NA,NA,Kill,Brazil,BRA,South America,Americas,NA,NA,NA,Yes,No,No,NA,NA,Km2,NA,NA,NA,NA,1967,1,23,1967,1,23,785,1257,20836,NA,22093,NA,NA,7800,13.048062107494, sao paulo,-23.5475,-46.63611
Brazil,1967-0015-BRA,1967,0015,Natural,Hydrological,Flood,NA,NA,NA,Kill,Brazil,BRA,South America,Americas,NA,NA,NA,Yes,No,No,NA,NA,Km2,NA,NA,NA,NA,1967,1,23,1967,1,23,785,1257,20836,NA,22093,NA,NA,7800,13.048062107494, guanab,NA,NA
Brazil,1967-0015-BRA,1967,0015,Natural,Hydrological,Flood,NA,NA,NA,Kill,Brazil,BRA,South America,Americas,NA,NA,NA,Yes,No,No,NA,NA,Km2,NA,NA,NA,NA,1967,1,23,1967,1,23,785,1257,20836,NA,22093,NA,NA,7800,13.048062107494, rio,-22.90642,-43.18223
Brazil,1967-0015-BRA,1967,0015,Natural,Hydrological,Flood,NA,NA,NA,Kill,Brazil,BRA,South America,Americas,NA,NA,NA,Yes,No,No,NA,NA,Km2,NA,NA,NA,NA,1967,1,23,1967,1,23,785,1257,20836,NA,22093,NA,NA,7800,13.048062107494, sao paulo,-23.5475,-46.63611
Brazil,1967-0015-BRA,1967,0015,Natural,Hydrological,Flood,NA,NA,NA,Kill,Brazil,BRA,South America,Americas,NA,NA,NA,Yes,No,No,NA,NA,Km2,NA,NA,NA,NA,1967,1,23,1967,1,23,785,1257,20836,NA,22093,NA,NA,7800,13.048062107494, rio,-22.90642,-43.18223
Brazil,1967-0015-BRA,1967,0015,Natural,Hydrological,Flood,NA,NA,NA,Kill,Brazil,BRA,South America,Americas,NA,NA,NA,Yes,No,No,NA,NA,Km2,NA,NA,NA,NA,1967,1,23,1967,1,23,785,1257,20836,NA,22093,NA,NA,7800,13.048062107494, guanabara,-22.81559,-43.19976
