region,Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI,location_word,lat,long
Phil,2011-0576-PHL,2011,0576,Natural,Meteorological,Storm,Tropical cyclone,NA,Tropical Storm Haima (Egay),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,2011,6,14,2011,6,20,NA,NA,NA,NA,NA,NA,NA,NA,87.9846029188446,  iii ,13.98699,121.43252
Phil,2011-0576-PHL,2011,0576,Natural,Meteorological,Storm,Tropical cyclone,NA,Tropical Storm Haima (Egay),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,2011,6,14,2011,6,20,NA,NA,NA,NA,NA,NA,NA,NA,87.9846029188446,central luzon,15.30714,120.79762
Phil,2011-0576-PHL,2011,0576,Natural,Meteorological,Storm,Tropical cyclone,NA,Tropical Storm Haima (Egay),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,2011,6,14,2011,6,20,NA,NA,NA,NA,NA,NA,NA,NA,87.9846029188446,,14.6042,120.9822
Phil,2011-0576-PHL,2011,0576,Natural,Meteorological,Storm,Tropical cyclone,NA,Tropical Storm Haima (Egay),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,2011,6,14,2011,6,20,NA,NA,NA,NA,NA,NA,NA,NA,87.9846029188446,  iv ,13.99681,121.44203
Phil,2011-0576-PHL,2011,0576,Natural,Meteorological,Storm,Tropical cyclone,NA,Tropical Storm Haima (Egay),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,2011,6,14,2011,6,20,NA,NA,NA,NA,NA,NA,NA,NA,87.9846029188446,southern tagalog,NA,NA
Phil,2011-0576-PHL,2011,0576,Natural,Meteorological,Storm,Tropical cyclone,NA,Tropical Storm Haima (Egay),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,2011,6,14,2011,6,20,NA,NA,NA,NA,NA,NA,NA,NA,87.9846029188446,  iv-a ,7.46361,124.25722
Phil,2011-0576-PHL,2011,0576,Natural,Meteorological,Storm,Tropical cyclone,NA,Tropical Storm Haima (Egay),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,2011,6,14,2011,6,20,NA,NA,NA,NA,NA,NA,NA,NA,87.9846029188446,calabarzon,14.31,121.09
Phil,2011-0576-PHL,2011,0576,Natural,Meteorological,Storm,Tropical cyclone,NA,Tropical Storm Haima (Egay),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,2011,6,14,2011,6,20,NA,NA,NA,NA,NA,NA,NA,NA,87.9846029188446,,14.6042,120.9822
Phil,2011-0576-PHL,2011,0576,Natural,Meteorological,Storm,Tropical cyclone,NA,Tropical Storm Haima (Egay),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,2011,6,14,2011,6,20,NA,NA,NA,NA,NA,NA,NA,NA,87.9846029188446,  ix ,7.89603,123.13477
Phil,2011-0576-PHL,2011,0576,Natural,Meteorological,Storm,Tropical cyclone,NA,Tropical Storm Haima (Egay),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,2011,6,14,2011,6,20,NA,NA,NA,NA,NA,NA,NA,NA,87.9846029188446,zamboanga peninsula,7.89603,123.13477
