region,Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI,location_word,lat,long
Venezuela_Colombia,2009-9415-VEN,2009,9415,Natural,Climatological,Drought,Drought,NA,NA,Affected,Venezuela (Bolivarian Republic of),VEN,South America,Americas,NA,NA,NA,NA,NA,Yes,NA,NA,Km2,NA,NA,NA,NA,2009,11,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.9158074104016, mir,NA,NA
Venezuela_Colombia,2009-9415-VEN,2009,9415,Natural,Climatological,Drought,Drought,NA,NA,Affected,Venezuela (Bolivarian Republic of),VEN,South America,Americas,NA,NA,NA,NA,NA,Yes,NA,NA,Km2,NA,NA,NA,NA,2009,11,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.9158074104016,a,10.48801,-66.87919
Venezuela_Colombia,2009-9415-VEN,2009,9415,Natural,Climatological,Drought,Drought,NA,NA,Affected,Venezuela (Bolivarian Republic of),VEN,South America,Americas,NA,NA,NA,NA,NA,Yes,NA,NA,Km2,NA,NA,NA,NA,2009,11,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.9158074104016, monagas,9.74569,-63.18323
Venezuela_Colombia,2009-9415-VEN,2009,9415,Natural,Climatological,Drought,Drought,NA,NA,Affected,Venezuela (Bolivarian Republic of),VEN,South America,Americas,NA,NA,NA,NA,NA,Yes,NA,NA,Km2,NA,NA,NA,NA,2009,11,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.9158074104016, nueva esparta,11,-64
Venezuela_Colombia,2009-9415-VEN,2009,9415,Natural,Climatological,Drought,Drought,NA,NA,Affected,Venezuela (Bolivarian Republic of),VEN,South America,Americas,NA,NA,NA,NA,NA,Yes,NA,NA,Km2,NA,NA,NA,NA,2009,11,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.9158074104016, portuguesa,9.16667,-69.25
Venezuela_Colombia,2009-9415-VEN,2009,9415,Natural,Climatological,Drought,Drought,NA,NA,Affected,Venezuela (Bolivarian Republic of),VEN,South America,Americas,NA,NA,NA,NA,NA,Yes,NA,NA,Km2,NA,NA,NA,NA,2009,11,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.9158074104016, sucre,10.45397,-64.18256
Venezuela_Colombia,2009-9415-VEN,2009,9415,Natural,Climatological,Drought,Drought,NA,NA,Affected,Venezuela (Bolivarian Republic of),VEN,South America,Americas,NA,NA,NA,NA,NA,Yes,NA,NA,Km2,NA,NA,NA,NA,2009,11,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.9158074104016, tachira,7.83333,-72.08333
Venezuela_Colombia,2009-9415-VEN,2009,9415,Natural,Climatological,Drought,Drought,NA,NA,Affected,Venezuela (Bolivarian Republic of),VEN,South America,Americas,NA,NA,NA,NA,NA,Yes,NA,NA,Km2,NA,NA,NA,NA,2009,11,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.9158074104016, trujillo,9.43856,-70.50888
Venezuela_Colombia,2009-9415-VEN,2009,9415,Natural,Climatological,Drought,Drought,NA,NA,Affected,Venezuela (Bolivarian Republic of),VEN,South America,Americas,NA,NA,NA,NA,NA,Yes,NA,NA,Km2,NA,NA,NA,NA,2009,11,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.9158074104016, yaracuy,10.33974,-68.73734
Venezuela_Colombia,2009-9415-VEN,2009,9415,Natural,Climatological,Drought,Drought,NA,NA,Affected,Venezuela (Bolivarian Republic of),VEN,South America,Americas,NA,NA,NA,NA,NA,Yes,NA,NA,Km2,NA,NA,NA,NA,2009,11,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.9158074104016, zulia,10.66663,-71.61245
