region,Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI,location_word,lat,long
Vietnam,2013-0266-VNM,2013,0266,Natural,Hydrological,Flood,Riverine flood,NA,NA,Affected,Viet Nam,VNM,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,2013,7,28,2013,7,30,5,NA,5000,NA,5000,NA,NA,6500,91.1207940325185, son la,21.16667,104
Vietnam,2013-0266-VNM,2013,0266,Natural,Hydrological,Flood,Riverine flood,NA,NA,Affected,Viet Nam,VNM,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,2013,7,28,2013,7,30,5,NA,5000,NA,5000,NA,NA,6500,91.1207940325185, quang ninh,21.25,107.33333
Vietnam,2013-0266-VNM,2013,0266,Natural,Hydrological,Flood,Riverine flood,NA,NA,Affected,Viet Nam,VNM,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,2013,7,28,2013,7,30,5,NA,5000,NA,5000,NA,NA,6500,91.1207940325185, tuyen quang ,22.11667,105.25
Vietnam,2013-0380-VNM,2013,0380,Natural,Hydrological,Flood,Riverine flood,NA,NA,Kill,Viet Nam,VNM,South-Eastern Asia,Asia,Mosoonal rain and typhoon Usagi,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,2013,9,24,2013,9,24,30,NA,NA,NA,NA,NA,NA,NA,91.1207940325185,an giang,10.5,105.16667
Vietnam,2013-0380-VNM,2013,0380,Natural,Hydrological,Flood,Riverine flood,NA,NA,Kill,Viet Nam,VNM,South-Eastern Asia,Asia,Mosoonal rain and typhoon Usagi,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,2013,9,24,2013,9,24,30,NA,NA,NA,NA,NA,NA,NA,91.1207940325185, ba riavung tau,NA,NA
Vietnam,2013-0380-VNM,2013,0380,Natural,Hydrological,Flood,Riverine flood,NA,NA,Kill,Viet Nam,VNM,South-Eastern Asia,Asia,Mosoonal rain and typhoon Usagi,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,2013,9,24,2013,9,24,30,NA,NA,NA,NA,NA,NA,NA,91.1207940325185, bac lieu,9.29414,105.72776
Vietnam,2013-0380-VNM,2013,0380,Natural,Hydrological,Flood,Riverine flood,NA,NA,Kill,Viet Nam,VNM,South-Eastern Asia,Asia,Mosoonal rain and typhoon Usagi,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,2013,9,24,2013,9,24,30,NA,NA,NA,NA,NA,NA,NA,91.1207940325185, ben tre,10.16667,106.5
Vietnam,2013-0380-VNM,2013,0380,Natural,Hydrological,Flood,Riverine flood,NA,NA,Kill,Viet Nam,VNM,South-Eastern Asia,Asia,Mosoonal rain and typhoon Usagi,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,2013,9,24,2013,9,24,30,NA,NA,NA,NA,NA,NA,NA,91.1207940325185, binh dinh,14.16667,109
Vietnam,2013-0380-VNM,2013,0380,Natural,Hydrological,Flood,Riverine flood,NA,NA,Kill,Viet Nam,VNM,South-Eastern Asia,Asia,Mosoonal rain and typhoon Usagi,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,2013,9,24,2013,9,24,30,NA,NA,NA,NA,NA,NA,NA,91.1207940325185, binh duong,11.16667,106.66667
Vietnam,2013-0380-VNM,2013,0380,Natural,Hydrological,Flood,Riverine flood,NA,NA,Kill,Viet Nam,VNM,South-Eastern Asia,Asia,Mosoonal rain and typhoon Usagi,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,2013,9,24,2013,9,24,30,NA,NA,NA,NA,NA,NA,NA,91.1207940325185, binh phuoc,11.75,106.91667
Vietnam,2013-0380-VNM,2013,0380,Natural,Hydrological,Flood,Riverine flood,NA,NA,Kill,Viet Nam,VNM,South-Eastern Asia,Asia,Mosoonal rain and typhoon Usagi,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,2013,9,24,2013,9,24,30,NA,NA,NA,NA,NA,NA,NA,91.1207940325185, binh thuan,11.08333,108.08333
Vietnam,2013-0380-VNM,2013,0380,Natural,Hydrological,Flood,Riverine flood,NA,NA,Kill,Viet Nam,VNM,South-Eastern Asia,Asia,Mosoonal rain and typhoon Usagi,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,2013,9,24,2013,9,24,30,NA,NA,NA,NA,NA,NA,NA,91.1207940325185, ca mau,9.17682,105.15242
Vietnam,2013-0380-VNM,2013,0380,Natural,Hydrological,Flood,Riverine flood,NA,NA,Kill,Viet Nam,VNM,South-Eastern Asia,Asia,Mosoonal rain and typhoon Usagi,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,2013,9,24,2013,9,24,30,NA,NA,NA,NA,NA,NA,NA,91.1207940325185, can tho ,10.03711,105.78825
Vietnam,2013-0380-VNM,2013,0380,Natural,Hydrological,Flood,Riverine flood,NA,NA,Kill,Viet Nam,VNM,South-Eastern Asia,Asia,Mosoonal rain and typhoon Usagi,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,2013,9,24,2013,9,24,30,NA,NA,NA,NA,NA,NA,NA,91.1207940325185, da nang ,16.06778,108.22083
Vietnam,2013-0380-VNM,2013,0380,Natural,Hydrological,Flood,Riverine flood,NA,NA,Kill,Viet Nam,VNM,South-Eastern Asia,Asia,Mosoonal rain and typhoon Usagi,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,2013,9,24,2013,9,24,30,NA,NA,NA,NA,NA,NA,NA,91.1207940325185, dak lak,12.39769,108.21814
