region,Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI,location_word,lat,long
Phil,2008-0077-PHL,2008,0077,Natural,Hydrological,Flood,Riverine flood,NA,NA,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Heavy rains,"Slide (land, mud, snow, rock)",NA,NA,NA,NA,38,21800,Km2,11.64,125.22,NA,"Samar, Bicol",2008,2,12,2008,3,12,63,37,875306,NA,875343,NA,NA,30733,84.21522909277, camarines norte,14.1122,122.9553
Phil,2008-0077-PHL,2008,0077,Natural,Hydrological,Flood,Riverine flood,NA,NA,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Heavy rains,"Slide (land, mud, snow, rock)",NA,NA,NA,NA,38,21800,Km2,11.64,125.22,NA,"Samar, Bicol",2008,2,12,2008,3,12,63,37,875306,NA,875343,NA,NA,30733,84.21522909277, sorgoson,NA,NA
Phil,2008-0077-PHL,2008,0077,Natural,Hydrological,Flood,Riverine flood,NA,NA,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Heavy rains,"Slide (land, mud, snow, rock)",NA,NA,NA,NA,38,21800,Km2,11.64,125.22,NA,"Samar, Bicol",2008,2,12,2008,3,12,63,37,875306,NA,875343,NA,NA,30733,84.21522909277, cat,7.42639,124.85444
Phil,2008-0077-PHL,2008,0077,Natural,Hydrological,Flood,Riverine flood,NA,NA,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Heavy rains,"Slide (land, mud, snow, rock)",NA,NA,NA,NA,38,21800,Km2,11.64,125.22,NA,"Samar, Bicol",2008,2,12,2008,3,12,63,37,875306,NA,875343,NA,NA,30733,84.21522909277,uanes  ,NA,NA
Phil,2008-0077-PHL,2008,0077,Natural,Hydrological,Flood,Riverine flood,NA,NA,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Heavy rains,"Slide (land, mud, snow, rock)",NA,NA,NA,NA,38,21800,Km2,11.64,125.22,NA,"Samar, Bicol",2008,2,12,2008,3,12,63,37,875306,NA,875343,NA,NA,30733,84.21522909277, v province,7.20417,124.43972
Phil,2008-0077-PHL,2008,0077,Natural,Hydrological,Flood,Riverine flood,NA,NA,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Heavy rains,"Slide (land, mud, snow, rock)",NA,NA,NA,NA,38,21800,Km2,11.64,125.22,NA,"Samar, Bicol",2008,2,12,2008,3,12,63,37,875306,NA,875343,NA,NA,30733,84.21522909277,,14.6042,120.9822
Phil,2008-0077-PHL,2008,0077,Natural,Hydrological,Flood,Riverine flood,NA,NA,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Heavy rains,"Slide (land, mud, snow, rock)",NA,NA,NA,NA,38,21800,Km2,11.64,125.22,NA,"Samar, Bicol",2008,2,12,2008,3,12,63,37,875306,NA,875343,NA,NA,30733,84.21522909277, capiz  ,11.17227,122.47408
Phil,2008-0077-PHL,2008,0077,Natural,Hydrological,Flood,Riverine flood,NA,NA,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Heavy rains,"Slide (land, mud, snow, rock)",NA,NA,NA,NA,38,21800,Km2,11.64,125.22,NA,"Samar, Bicol",2008,2,12,2008,3,12,63,37,875306,NA,875343,NA,NA,30733,84.21522909277, vi province,13.30283,123.41195
Phil,2008-0077-PHL,2008,0077,Natural,Hydrological,Flood,Riverine flood,NA,NA,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Heavy rains,"Slide (land, mud, snow, rock)",NA,NA,NA,NA,38,21800,Km2,11.64,125.22,NA,"Samar, Bicol",2008,2,12,2008,3,12,63,37,875306,NA,875343,NA,NA,30733,84.21522909277,,14.6042,120.9822
Phil,2008-0077-PHL,2008,0077,Natural,Hydrological,Flood,Riverine flood,NA,NA,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Heavy rains,"Slide (land, mud, snow, rock)",NA,NA,NA,NA,38,21800,Km2,11.64,125.22,NA,"Samar, Bicol",2008,2,12,2008,3,12,63,37,875306,NA,875343,NA,NA,30733,84.21522909277, eastern samar,11.93353,125.03403
