region,Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI,location_word,lat,long
Venezuela_Colombia,1926-0013-COL,1926,0013,Natural,Hydrological,Landslide,Landslide,NA,NA,Kill,Colombia,COL,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,11,5,1926,11,5,100,NA,NA,NA,NA,NA,NA,NA,6.9402357562366,pereira,4.81333,-75.69611
Venezuela_Colombia,1954-0012-COL,1954,0012,Natural,Hydrological,Landslide,Landslide,NA,NA,Kill,Colombia,COL,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1954,7,12,1954,7,12,140,NA,NA,NA,NA,NA,NA,NA,10.5277636377498,medellin,6.25184,-75.56359
Venezuela_Colombia,1965-0065-COL,1965,0065,Natural,Hydrological,Landslide,Landslide,NA,NA,Kill,Colombia,COL,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1965,11,27,1965,11,27,32,NA,NA,NA,NA,NA,NA,NA,12.3244326683639,manizales,5.06889,-75.51738
Venezuela_Colombia,1968-0028-COL,1968,0028,Natural,Meteorological,Storm,NA,NA,NA,Affect,Colombia,COL,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1968,1,29,1968,1,29,NA,NA,1020,63,1083,NA,NA,50,13.6054460870388,guadalupe ,1.98799,-75.69012
Venezuela_Colombia,1968-0028-COL,1968,0028,Natural,Meteorological,Storm,NA,NA,NA,Affect,Colombia,COL,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1968,1,29,1968,1,29,NA,NA,1020,63,1083,NA,NA,50,13.6054460870388,huila ,2.5,-75.58333
Venezuela_Colombia,1968-0028-COL,1968,0028,Natural,Meteorological,Storm,NA,NA,NA,Affect,Colombia,COL,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1968,1,29,1968,1,29,NA,NA,1020,63,1083,NA,NA,50,13.6054460870388,,4.60971,-74.08175
Venezuela_Colombia,1969-0110-COL,1969,0110,Natural,Hydrological,Flood,Riverine flood,NA,NA,Affect,Colombia,COL,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1969,12,NA,1969,12,NA,NA,NA,70000,NA,70000,NA,NA,500,14.3486278167258,magdalena river area,NA,NA
Venezuela_Colombia,1970-0021-COL,1970,0021,Natural,Hydrological,Flood,NA,NA,NA,Affect,Colombia,COL,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1970,4,NA,1970,4,NA,NA,NA,4000,NA,4000,NA,NA,50,15.1863354613098,leticia ,-4.21528,-69.94056
Venezuela_Colombia,1970-0021-COL,1970,0021,Natural,Hydrological,Flood,NA,NA,NA,Affect,Colombia,COL,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1970,4,NA,1970,4,NA,NA,NA,4000,NA,4000,NA,NA,50,15.1863354613098,amazon,-0.16667,-49
Venezuela_Colombia,1970-0021-COL,1970,0021,Natural,Hydrological,Flood,NA,NA,NA,Affect,Colombia,COL,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1970,4,NA,1970,4,NA,NA,NA,4000,NA,4000,NA,NA,50,15.1863354613098,,4.60971,-74.08175
Venezuela_Colombia,1970-0061-COL,1970,0061,Natural,Hydrological,Flood,NA,NA,NA,Kill,Colombia,COL,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1970,11,NA,1970,11,NA,307,NA,5000000,105000,5105000,NA,NA,138800,15.1863354613098,magdalena,11.24079,-74.19904
Venezuela_Colombia,1970-0061-COL,1970,0061,Natural,Hydrological,Flood,NA,NA,NA,Kill,Colombia,COL,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1970,11,NA,1970,11,NA,307,NA,5000000,105000,5105000,NA,NA,138800,15.1863354613098, cauca vals,1.16859,-76.78267
Venezuela_Colombia,1970-0069-COL,1970,0069,Natural,Hydrological,Flood,NA,NA,NA,Kill,Colombia,COL,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1970,12,12,1970,12,12,100,NA,NA,NA,NA,NA,NA,NA,15.1863354613098,caldas,5.26667,-75.33333
Venezuela_Colombia,1971-0018-COL,1971,0018,Natural,Hydrological,Flood,NA,NA,NA,OFDA,Colombia,COL,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1971,3,NA,1971,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8382546266338,magdalena,11.24079,-74.19904
Venezuela_Colombia,1971-0018-COL,1971,0018,Natural,Hydrological,Flood,NA,NA,NA,OFDA,Colombia,COL,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1971,3,NA,1971,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8382546266338, cauca vals,1.16859,-76.78267
Venezuela_Colombia,1972-0018-COL,1972,0018,Natural,Hydrological,Landslide,Landslide,NA,NA,Kill,Colombia,COL,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1972,1,26,1972,1,26,70,NA,NA,NA,NA,NA,NA,NA,16.3565247541826,san josecito,7.14556,-75.20083
Venezuela_Colombia,1973-0029-COL,1973,0029,Natural,Hydrological,Landslide,Landslide,NA,NA,Kill,Colombia,COL,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973,6,26,1973,6,26,16,NA,NA,NA,NA,NA,NA,NA,17.3669860176555,san antonio de prado,6.18458,-75.65669
Venezuela_Colombia,1973-0030-COL,1973,0030,Natural,Hydrological,Landslide,Landslide,NA,NA,Kill,Colombia,COL,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973,6,28,1973,6,28,200,NA,NA,NA,NA,NA,NA,NA,17.3669860176555,bogota,4.60971,-74.08175
Venezuela_Colombia,1974-0031-COL,1974,0031,Natural,Hydrological,Landslide,Landslide,NA,NA,Kill,Colombia,COL,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,6,28,1974,6,28,300,1000,NA,NA,1000,NA,NA,NA,19.2868744704009,quebrada blanca,6.0937,-72.10402
Venezuela_Colombia,1974-0048-COL,1974,0048,Natural,Hydrological,Landslide,Landslide,NA,NA,Kill,Colombia,COL,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,9,29,1974,9,29,90,NA,NA,NA,NA,NA,NA,NA,19.2868744704009,medellin,6.25184,-75.56359
Venezuela_Colombia,1976-0036-COL,1976,0036,Natural,Hydrological,Landslide,Landslide,NA,NA,Kill,Colombia,COL,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1976,5,2,1976,5,2,13,16,NA,NA,16,NA,NA,NA,22.259601389149, fresno,5.19952,-75.03762
Venezuela_Colombia,1977-0069-COL,1977,0069,Natural,Hydrological,Landslide,Landslide,NA,NA,Affect,Colombia,COL,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,5,9,1977,5,9,NA,NA,NA,100,100,NA,NA,NA,23.7068509965271,marizales,7.27242,-75.31242
Venezuela_Colombia,1967-0052-VEN,1967,0052,Natural,Hydrological,Flood,NA,NA,NA,Affect,Venezuela (Bolivarian Republic of),VEN,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1967,8,NA,1967,8,NA,NA,NA,23000,NA,23000,NA,NA,4126,13.048062107494,llanos ,8,-67.75
Venezuela_Colombia,1979-0099-COL,1979,0099,Natural,Hydrological,Flood,NA,NA,NA,Kill,Colombia,COL,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1979,11,20,1979,11,20,62,NA,100000,2000,102000,NA,NA,NA,28.3875988971359,playon,7.51699,-73.19559
Venezuela_Colombia,1980-0094-COL,1980,0094,Natural,Hydrological,Flood,NA,NA,NA,Kill,Colombia,COL,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1980,10,NA,1980,10,NA,40,50,NA,NA,50,NA,NA,NA,32.2338932328122,northern,NA,NA
Venezuela_Colombia,1980-0094-COL,1980,0094,Natural,Hydrological,Flood,NA,NA,NA,Kill,Colombia,COL,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1980,10,NA,1980,10,NA,40,50,NA,NA,50,NA,NA,NA,32.2338932328122, western,6.21189,-75.5652
Venezuela_Colombia,1981-0074-COL,1981,0074,Natural,Hydrological,Flood,Riverine flood,NA,NA,Kill,Colombia,COL,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1981,8,17,1981,8,17,150,NA,NA,NA,NA,NA,NA,5000,35.5651715205916,east,13.38333,-81.35
