region,Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI,location_word,lat,long
Vietnam,1953-0019-VNM,1953,0019,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,Viet Nam,VNM,South-Eastern Asia,Asia,NA,NA,NA,NA,No,No,NA,NA,Kph,NA,NA,NA,NA,1953,9,26,1953,9,26,1000,NA,NA,NA,NA,NA,NA,NA,10.4886269699515,southern coast,15.88908,108.32905
Vietnam,1964-0063-VNM,1964,0063,Natural,Meteorological,Storm,Tropical cyclone,NA,Iris,Kill,Viet Nam,VNM,South-Eastern Asia,Asia,NA,NA,NA,Yes,No,No,NA,NA,Kph,NA,NA,NA,NA,1964,9,NA,1964,11,NA,7000,NA,700000,NA,700000,NA,NA,50000,12.1321174880359,china sea coast,NA,NA
Vietnam,1966-0070-VNM,1966,0070,Natural,Hydrological,Flood,Riverine flood,NA,NA,Kill,Viet Nam,VNM,South-Eastern Asia,Asia,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1966,9,20,1966,9,20,31,NA,125541,70361,195902,NA,NA,10000,12.6960281686485, cambodia border,NA,NA
Vietnam,1970-0059-VNM,1970,0059,Natural,Hydrological,Flood,NA,NA,NA,Kill,Viet Nam,VNM,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1970,10,26,1970,10,26,237,NA,204000,NA,204000,NA,NA,NA,15.1863354613098,north,16.47129,107.58478
Vietnam,1971-0029-VNM,1971,0029,Natural,Meteorological,Storm,Tropical cyclone,NA,Wanda,Kill,Viet Nam,VNM,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1971,5,1,1971,5,1,23,NA,50000,NA,50000,NA,NA,NA,15.8382546266338,quang ngai ,15,108.66667
Vietnam,1971-0057-VNM,1971,0057,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,Viet Nam,VNM,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1971,10,23,1971,10,23,89,NA,NA,NA,NA,NA,NA,NA,15.8382546266338,north,16.47129,107.58478
Vietnam,1973-0047-VNM,1973,0047,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,Viet Nam,VNM,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1973,11,10,1973,11,10,100,NA,150000,NA,150000,NA,NA,NA,17.3669860176555,binh dinh,14.16667,109
Vietnam,1977-0088-VNM,1977,0088,Natural,Meteorological,Storm,Tropical cyclone,NA,Sarah,Affect,Viet Nam,VNM,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1977,7,22,1977,7,22,NA,NA,1000,NA,1000,NA,NA,NA,23.7068509965271,haiphong,20.86481,106.68345
Vietnam,1978-0105-VNM,1978,0105,Natural,Hydrological,Flood,Riverine flood,NA,NA,Kill,Viet Nam,VNM,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1978,8,NA,1978,8,NA,74,NA,4000000,79000,4079000,NA,NA,NA,25.5159153234703,mekong delta,10.01211,105.83224
Vietnam,1980-0068-VNM,1980,0068,Natural,Meteorological,Storm,Tropical cyclone,NA,Joe (n°4),Kill,Viet Nam,VNM,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1980,7,23,1980,7,23,132,210,6460000,164500,6624710,NA,NA,NA,32.2338932328122,ha bac,22.50998,104.30769
