year_no,region,seasonal_rain
1900,Central_America,28.457733154296875
1900,Venezuela_Colombia,13.414057413736979
1900,India_SriLanka,13.258295694986979
1900,Malaysia_Singapore_Thai,26.292203267415363
1900,Vietnam,31.614359537760418
1900,Phil,29.709910074869793
1900,Brazil,12.268053690592447
1900,Tanzania_Kenya,17.18768056233724
1901,Central_America,29.191731770833332
1901,Venezuela_Colombia,18.203479766845703
1901,India_SriLanka,13.734036763509115
1901,Malaysia_Singapore_Thai,29.892201741536457
1901,Vietnam,37.95025634765625
1901,Phil,44.670186360677086
1901,Brazil,20.678853352864582
1901,Tanzania_Kenya,20.09018071492513
1902,Central_America,21.8430658976237
1902,Venezuela_Colombia,9.74318822224935
1902,India_SriLanka,22.458852132161457
1902,Malaysia_Singapore_Thai,39.38029988606771
1902,Vietnam,38.4866689046224
1902,Phil,22.5191650390625
1902,Brazil,16.653494517008465
1902,Tanzania_Kenya,14.978912353515625
1903,Central_America,27.051467895507812
1903,Venezuela_Colombia,14.745072682698568
1903,India_SriLanka,17.972628275553387
1903,Malaysia_Singapore_Thai,26.799880981445312
1903,Vietnam,38.04410298665365
1903,Phil,41.015462239583336
1903,Brazil,12.802239735921225
1903,Tanzania_Kenya,16.155832926432293
1904,Central_America,26.626266479492188
1904,Venezuela_Colombia,10.413622538248697
1904,India_SriLanka,11.005851745605469
1904,Malaysia_Singapore_Thai,30.24041493733724
1904,Vietnam,45.907440185546875
1904,Phil,30.95360819498698
1904,Brazil,22.35515848795573
1904,Tanzania_Kenya,20.7034428914388
1905,Central_America,23.268264770507812
1905,Venezuela_Colombia,12.636086781819662
1905,India_SriLanka,13.232406616210938
1905,Malaysia_Singapore_Thai,31.18779754638672
1905,Vietnam,37.34461466471354
1905,Phil,23.35814921061198
1905,Brazil,23.213358561197918
1905,Tanzania_Kenya,23.22583262125651
1906,Central_America,31.76666768391927
1906,Venezuela_Colombia,19.394638061523438
1906,India_SriLanka,18.158185323079426
1906,Malaysia_Singapore_Thai,36.11744181315104
1906,Vietnam,26.172561645507812
1906,Phil,35.78240712483724
1906,Brazil,23.67406717936198
1906,Tanzania_Kenya,26.4454345703125
1907,Central_America,30.927200317382812
1907,Venezuela_Colombia,10.835652669270834
1907,India_SriLanka,14.343629201253256
1907,Malaysia_Singapore_Thai,34.64273579915365
1907,Vietnam,36.26512908935547
1907,Phil,31.344258626302082
1907,Brazil,20.630027770996094
1907,Tanzania_Kenya,17.058151245117188
1908,Central_America,32.69559987386068
1908,Venezuela_Colombia,17.9886957804362
1908,India_SriLanka,11.643962860107422
1908,Malaysia_Singapore_Thai,31.352559407552082
1908,Vietnam,48.472310384114586
1908,Phil,35.31879679361979
1908,Brazil,16.21942647298177
1908,Tanzania_Kenya,21.798477172851562
1909,Central_America,29.49359893798828
1909,Venezuela_Colombia,24.743479410807293
1909,India_SriLanka,8.62248166402181
