region,Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI,location_word,lat,long,in_the_box,in_shapefile,in_reg
Central_America,1931-0009-BLZ,1931,0009,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,Belize,BLZ,Central America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1931,9,10,1931,9,10,1500,NA,NA,NA,NA,NA,NA,7500,5.9618190612784,belize ,17.49952,-88.19756,TRUE,TRUE,TRUE
Central_America,1949-0012-GTM,1949,0012,Natural,Hydrological,Flood,NA,NA,NA,Kill,Guatemala,GTM,Central America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1949,10,NA,1949,10,NA,40000,NA,NA,NA,NA,NA,NA,15000,9.3275724919345,east,NA,NA,NA,NA,NA
Central_America,1955-0014-BLZ,1955,0014,Natural,Meteorological,Storm,Tropical cyclone,NA,Janet,Kill,Belize,BLZ,Central America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1955,9,28,1955,9,28,16,NA,NA,NA,NA,NA,NA,5000,10.473000409773,corozal area,NA,NA,NA,NA,NA
Central_America,1961-0013-BLZ,1961,0013,Natural,Meteorological,Storm,Tropical cyclone,NA,Hattie,Kill,Belize,BLZ,Central America,Americas,NA,NA,NA,NA,No,No,NA,NA,Kph,NA,NA,NA,NA,1961,10,30,1961,10,31,275,NA,NA,NA,NA,NA,NA,60000,11.692075064479,belize  other towns,NA,NA,NA,NA,NA
Central_America,1965-9032-HND,1965,9032,Natural,Climatological,Drought,Drought,NA,NA,NA,Honduras,HND,Central America,Americas,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1965,6,NA,1965,NA,NA,NA,NA,100000,NA,100000,NA,NA,NA,12.3244326683639,south valle,NA,NA,NA,NA,NA
Central_America,1965-9032-HND,1965,9032,Natural,Climatological,Drought,Drought,NA,NA,NA,Honduras,HND,Central America,Americas,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1965,6,NA,1965,NA,NA,NA,NA,100000,NA,100000,NA,NA,NA,12.3244326683639, choluteca,13.30028,-87.19083,FALSE,FALSE,FALSE
Central_America,1965-0057-HND,1965,0057,Natural,Hydrological,Flood,NA,NA,NA,Affect,Honduras,HND,Central America,Americas,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1965,9,24,1965,9,24,NA,NA,6000,NA,6000,NA,NA,500,12.3244326683639,central,14.0818,-87.20681,FALSE,FALSE,FALSE
Central_America,1965-0057-HND,1965,0057,Natural,Hydrological,Flood,NA,NA,NA,Affect,Honduras,HND,Central America,Americas,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1965,9,24,1965,9,24,NA,NA,6000,NA,6000,NA,NA,500,12.3244326683639, south,16.05,-87,TRUE,TRUE,TRUE
Central_America,1969-0091-GTM,1969,0091,Natural,Meteorological,Storm,Tropical cyclone,NA,Francelia,Kill,Guatemala,GTM,Central America,Americas,NA,NA,NA,Yes,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1969,9,5,1969,9,5,269,NA,10200,NA,10200,NA,NA,15000,14.3486278167258,pacific coast ,NA,NA,NA,NA,NA
Central_America,1969-0089-HND,1969,0089,Natural,Meteorological,Storm,Tropical cyclone,NA,Francelia,Affect,Honduras,HND,Central America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1969,9,1,1969,9,1,NA,2,8000,NA,8002,NA,NA,19000,14.3486278167258,roatan,16.31681,-86.52296,TRUE,TRUE,TRUE
