region,Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI,location_word,lat,long,in_the_box,in_shapefile
India_SriLanka,1916-0004-IND,1916,0004,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1916,11,21,1916,11,21,300,NA,NA,NA,NA,NA,NA,NA,4.2658967900176,cuddalore,11.75617,79.76693,TRUE,TRUE
India_SriLanka,1916-0004-IND,1916,0004,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1916,11,21,1916,11,21,300,NA,NA,NA,NA,NA,NA,NA,4.2658967900176,pondicherry,11.93381,79.82979,TRUE,TRUE
India_SriLanka,1924-0003-IND,1924,0003,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1924,9,23,1924,9,23,1242,NA,1000000,NA,1000000,NA,NA,NA,6.7184613053794,punjab,31.62234,74.87534,FALSE,FALSE
India_SriLanka,1925-0004-IND,1925,0004,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1925,5,10,1925,5,10,80,NA,NA,NA,NA,NA,NA,NA,6.8750079765728,bezwada,16.50745,80.6466,TRUE,FALSE
India_SriLanka,1925-0004-IND,1925,0004,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1925,5,10,1925,5,10,80,NA,NA,NA,NA,NA,NA,NA,6.8750079765728,masulipatam,16.18747,81.13888,TRUE,FALSE
India_SriLanka,1926-0008-IND,1926,0008,Natural,Hydrological,Flood,Riverine flood,NA,NA,OFDA,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,1926,7,19,1926,7,19,NA,NA,NA,NA,NA,NA,NA,NA,6.9402357562366,bengal,22.56263,88.36304,FALSE,FALSE
India_SriLanka,1927-0008-IND,1927,0008,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1927,7,23,1927,7,23,56,10,40000,NA,40010,NA,NA,NA,6.8097801969089,gujarat,23.02579,72.58727,FALSE,FALSE
India_SriLanka,1927-0008-IND,1927,0008,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1927,7,23,1927,7,23,56,10,40000,NA,40010,NA,NA,NA,6.8097801969089,ahmedabad,23.02579,72.58727,FALSE,FALSE
India_SriLanka,1927-0008-IND,1927,0008,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1927,7,23,1927,7,23,56,10,40000,NA,40010,NA,NA,NA,6.8097801969089,baroda,22.29941,73.20812,FALSE,FALSE
India_SriLanka,1927-0011-IND,1927,0011,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1927,11,1,1927,11,1,629,NA,NA,NA,NA,NA,NA,NA,6.8097801969089,nellore,14.44992,79.98697,TRUE,TRUE
India_SriLanka,1928-0018-IND,1928,0018,Natural,Hydrological,Flood,NA,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,1928,10,19,1928,10,19,36,NA,NA,2000,2000,NA,NA,NA,6.7315068613122,godavari,17,81.16667,TRUE,FALSE
India_SriLanka,1928-0018-IND,1928,0018,Natural,Hydrological,Flood,NA,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,1928,10,19,1928,10,19,36,NA,NA,2000,2000,NA,NA,NA,6.7315068613122,vizagapatnam,17.68009,83.20161,FALSE,FALSE
India_SriLanka,1935-0014-IND,1935,0014,Natural,Meteorological,Storm,NA,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1935,11,13,1935,11,13,100,NA,NA,NA,NA,NA,NA,NA,5.3747690443035,madras,13.08784,80.27847,TRUE,TRUE
India_SriLanka,1935-0014-IND,1935,0014,Natural,Meteorological,Storm,NA,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1935,11,13,1935,11,13,100,NA,NA,NA,NA,NA,NA,NA,5.3747690443035,negapatam,10.76377,79.84313,TRUE,TRUE
India_SriLanka,1936-0009-IND,1936,0009,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1936,10,28,1936,10,28,233,NA,NA,NA,NA,NA,NA,NA,5.4399968239674,guntur,16.29974,80.45729,TRUE,FALSE
India_SriLanka,1936-0009-IND,1936,0009,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1936,10,28,1936,10,28,233,NA,NA,NA,NA,NA,NA,NA,5.4399968239674,madras,13.08784,80.27847,TRUE,TRUE
India_SriLanka,1942-0009-IND,1942,0009,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1942,10,14,1942,10,14,40000,NA,NA,NA,NA,NA,NA,NA,6.4053679629928,orissa,20.5,84.41667,FALSE,FALSE
India_SriLanka,1942-0009-IND,1942,0009,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1942,10,14,1942,10,14,40000,NA,NA,NA,NA,NA,NA,NA,6.4053679629928,west bengal,22.56263,88.36304,FALSE,FALSE
India_SriLanka,1943-0011-IND,1943,0011,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1943,7,24,1943,7,24,5000,NA,NA,NA,NA,NA,NA,NA,6.7836890850433,rajputana,29.29675,74.63347,FALSE,FALSE
