region,Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI,location_word,lat,long,in_the_box,in_shapefile,in_reg
Malaysia_Singapore_Thai,1965-0066-MYS,1965,0066,Natural,Hydrological,Flood,NA,NA,NA,Affect,Malaysia,MYS,South-Eastern Asia,Asia,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1965,12,3,1965,12,3,6,NA,300000,NA,300000,NA,NA,1000,12.3244326683639,peninsular east coast,NA,NA,NA,NA,NA
Malaysia_Singapore_Thai,1966-0067-THA,1966,0067,Natural,Hydrological,Flood,Riverine flood,NA,NA,Affect,Thailand,THA,South-Eastern Asia,Asia,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1966,9,NA,1966,9,NA,6,200,200000,5000,205200,NA,NA,1000,12.6960281686485,chiengrai to ubon,NA,NA,NA,NA,NA
Malaysia_Singapore_Thai,1967-0002-MYS,1967,0002,Natural,Hydrological,Flood,NA,NA,NA,Kill,Malaysia,MYS,South-Eastern Asia,Asia,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1967,1,NA,1967,1,NA,50,NA,125000,15000,140000,NA,NA,25600,13.048062107494,kelantan,6.12361,102.24333,TRUE,TRUE,TRUE
Malaysia_Singapore_Thai,1967-0002-MYS,1967,0002,Natural,Hydrological,Flood,NA,NA,NA,Kill,Malaysia,MYS,South-Eastern Asia,Asia,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1967,1,NA,1967,1,NA,50,NA,125000,15000,140000,NA,NA,25600,13.048062107494, trengganu,5.3302,103.1408,TRUE,TRUE,TRUE
Malaysia_Singapore_Thai,1968-0019-MYS,1968,0019,Natural,Meteorological,Storm,NA,NA,NA,Kill,Malaysia,MYS,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1968,1,7,1968,1,7,21,NA,10000,NA,10000,NA,NA,NA,13.6054460870388,johore,1.4655,103.7578,FALSE,TRUE,FALSE
Malaysia_Singapore_Thai,1968-0019-MYS,1968,0019,Natural,Meteorological,Storm,NA,NA,NA,Kill,Malaysia,MYS,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1968,1,7,1968,1,7,21,NA,10000,NA,10000,NA,NA,NA,13.6054460870388, s. lowl,NA,NA,NA,NA,NA
Malaysia_Singapore_Thai,1968-0019-MYS,1968,0019,Natural,Meteorological,Storm,NA,NA,NA,Kill,Malaysia,MYS,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1968,1,7,1968,1,7,21,NA,10000,NA,10000,NA,NA,NA,13.6054460870388,s,7.37387,113.82342,FALSE,FALSE,FALSE
Malaysia_Singapore_Thai,1970-0070-MYS,1970,0070,Natural,Hydrological,Flood,NA,NA,NA,Kill,Malaysia,MYS,South-Eastern Asia,Asia,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1970,12,26,1970,12,26,61,NA,243000,NA,243000,NA,NA,37000,15.1863354613098,west malaysia,4,102,TRUE,TRUE,TRUE
Malaysia_Singapore_Thai,1970-0070-MYS,1970,0070,Natural,Hydrological,Flood,NA,NA,NA,Kill,Malaysia,MYS,South-Eastern Asia,Asia,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1970,12,26,1970,12,26,61,NA,243000,NA,243000,NA,NA,37000,15.1863354613098, capital,3.1412,101.68653,TRUE,TRUE,TRUE
Malaysia_Singapore_Thai,1975-0012-THA,1975,0012,Natural,Hydrological,Flood,NA,NA,NA,Kill,Thailand,THA,South-Eastern Asia,Asia,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1975,1,3,1975,1,3,239,93,3000000,NA,3000093,NA,NA,45000,21.0503075151625,south,13.75398,100.50144,FALSE,FALSE,FALSE
Malaysia_Singapore_Thai,1978-0106-THA,1978,0106,Natural,Hydrological,Flood,NA,NA,NA,Kill,Thailand,THA,South-Eastern Asia,Asia,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1978,8,NA,1978,8,NA,96,400,1628000,NA,1628400,NA,NA,400000,25.5159153234703,north,11.78492,99.816,FALSE,TRUE,FALSE
Malaysia_Singapore_Thai,1978-0106-THA,1978,0106,Natural,Hydrological,Flood,NA,NA,NA,Kill,Thailand,THA,South-Eastern Asia,Asia,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1978,8,NA,1978,8,NA,96,400,1628000,NA,1628400,NA,NA,400000,25.5159153234703, central,13.74378,100.54643,FALSE,FALSE,FALSE
Malaysia_Singapore_Thai,1978-0106-THA,1978,0106,Natural,Hydrological,Flood,NA,NA,NA,Kill,Thailand,THA,South-Eastern Asia,Asia,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1978,8,NA,1978,8,NA,96,400,1628000,NA,1628400,NA,NA,400000,25.5159153234703, north east ,NA,NA,NA,NA,NA
Malaysia_Singapore_Thai,1978-0139-MYS,1978,0139,Natural,Hydrological,Flood,NA,NA,NA,Affect,Malaysia,MYS,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1978,12,NA,1978,12,NA,NA,NA,3000,NA,3000,NA,NA,NA,25.5159153234703,johore bahru,1.4655,103.7578,FALSE,TRUE,FALSE
Malaysia_Singapore_Thai,1983-0152-MYS,1983,0152,Natural,Hydrological,Flood,NA,NA,NA,Kill,Malaysia,MYS,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1983,12,NA,1983,12,NA,10,NA,15000,NA,15000,NA,NA,NA,38.9583793014576,east coast,NA,NA,NA,NA,NA
Malaysia_Singapore_Thai,1986-0136-MYS,1986,0136,Natural,Hydrological,Flood,NA,NA,NA,Kill,Malaysia,MYS,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1986,11,28,1986,11,28,11,NA,25000,NA,25000,NA,NA,11500,42.8731298312885,east coast  ,NA,NA,NA,NA,NA
Malaysia_Singapore_Thai,1986-0136-MYS,1986,0136,Natural,Hydrological,Flood,NA,NA,NA,Kill,Malaysia,MYS,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1986,11,28,1986,11,28,11,NA,25000,NA,25000,NA,NA,11500,42.8731298312885, trengganu ,5.3302,103.1408,TRUE,TRUE,TRUE
Malaysia_Singapore_Thai,1986-0136-MYS,1986,0136,Natural,Hydrological,Flood,NA,NA,NA,Kill,Malaysia,MYS,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1986,11,28,1986,11,28,11,NA,25000,NA,25000,NA,NA,11500,42.8731298312885, kelantan,6.12361,102.24333,TRUE,TRUE,TRUE
Malaysia_Singapore_Thai,1987-0221-MYS,1987,0221,Natural,Hydrological,Flood,NA,NA,NA,Affect,Malaysia,MYS,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1987,12,NA,1987,12,NA,3,NA,2576,NA,2576,NA,NA,NA,44.44423842484,east coast ,NA,NA,NA,NA,NA
Malaysia_Singapore_Thai,1988-0509-MYS,1988,0509,Natural,Hydrological,Flood,Riverine flood,NA,NA,Kill,Malaysia,MYS,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1988,11,12,1988,11,12,27,NA,60000,NA,60000,NA,NA,NA,46.256556831435,kelantan ,6.12361,102.24333,TRUE,TRUE,TRUE
Malaysia_Singapore_Thai,1988-0509-MYS,1988,0509,Natural,Hydrological,Flood,Riverine flood,NA,NA,Kill,Malaysia,MYS,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1988,11,12,1988,11,12,27,NA,60000,NA,60000,NA,NA,NA,46.256556831435, east cost ,NA,NA,NA,NA,NA
Malaysia_Singapore_Thai,1978-0187-THA,1978,0187,Natural,Hydrological,Flood,NA,NA,NA,Affect,Thailand,THA,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1978,8,NA,1978,8,NA,NA,NA,400000,NA,400000,NA,NA,NA,25.5159153234703,north,11.78492,99.816,FALSE,TRUE,FALSE
Malaysia_Singapore_Thai,1978-0187-THA,1978,0187,Natural,Hydrological,Flood,NA,NA,NA,Affect,Thailand,THA,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1978,8,NA,1978,8,NA,NA,NA,400000,NA,400000,NA,NA,NA,25.5159153234703, northeast,NA,NA,NA,NA,NA
Malaysia_Singapore_Thai,1980-0280-THA,1980,0280,Natural,Hydrological,Flood,NA,NA,NA,Kill,Thailand,THA,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1980,10,3,1980,10,3,57,NA,630000,NA,630000,NA,NA,59700,32.2338932328122,central,13.74378,100.54643,FALSE,FALSE,FALSE
Malaysia_Singapore_Thai,1980-0280-THA,1980,0280,Natural,Hydrological,Flood,NA,NA,NA,Kill,Thailand,THA,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1980,10,3,1980,10,3,57,NA,630000,NA,630000,NA,NA,59700,32.2338932328122, north east,NA,NA,NA,NA,NA
Malaysia_Singapore_Thai,1981-0064-THA,1981,0064,Natural,Meteorological,Storm,Tropical cyclone,NA,Kelly,Affect,Thailand,THA,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1981,7,6,1981,7,6,NA,NA,43000,NA,43000,NA,NA,NA,35.5651715205916,nan ,18.78378,100.77899,FALSE,FALSE,FALSE
Malaysia_Singapore_Thai,1981-0104-THA,1981,0104,Natural,Meteorological,Storm,NA,NA,NA,Kill,Thailand,THA,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1981,12,NA,1981,12,NA,55,NA,NA,NA,NA,NA,NA,13000,35.5651715205916,south,13.75398,100.50144,FALSE,FALSE,FALSE
Malaysia_Singapore_Thai,1983-0105-THA,1983,0105,Natural,Hydrological,Flood,NA,NA,NA,Kill,Thailand,THA,South-Eastern Asia,Asia,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1983,8,NA,1983,8,NA,50,NA,1000000,NA,1000000,NA,NA,NA,38.9583793014576,bangkok,13.75398,100.50144,FALSE,FALSE,FALSE
