Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI,region,location_word,lat,long
1905-0003-IND,1905,0003,Natural,Geophysical,Earthquake,Ground movement,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,8,Richter,32.04,76.16,06:20,NA,1905,4,4,1905,4,4,20000,NA,NA,NA,NA,NA,NA,25000,3.5223001018494,India_SriLanka,kangra,32.16667,76.25
1916-0004-IND,1916,0004,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1916,11,21,1916,11,21,300,NA,NA,NA,NA,NA,NA,NA,4.2658967900176,India_SriLanka,cuddalore,11.75617,79.76693
1916-0004-IND,1916,0004,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1916,11,21,1916,11,21,300,NA,NA,NA,NA,NA,NA,NA,4.2658967900176,India_SriLanka,pondicherry,11.93381,79.82979
1924-0003-IND,1924,0003,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1924,9,23,1924,9,23,1242,NA,1000000,NA,1000000,NA,NA,NA,6.7184613053794,India_SriLanka,punjab,31.62234,74.87534
1925-0004-IND,1925,0004,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1925,5,10,1925,5,10,80,NA,NA,NA,NA,NA,NA,NA,6.8750079765728,India_SriLanka,bezwada,16.50745,80.6466
1925-0004-IND,1925,0004,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1925,5,10,1925,5,10,80,NA,NA,NA,NA,NA,NA,NA,6.8750079765728,India_SriLanka,masulipatam,16.18747,81.13888
1926-0008-IND,1926,0008,Natural,Hydrological,Flood,Riverine flood,NA,NA,OFDA,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1926,7,19,1926,7,19,NA,NA,NA,NA,NA,NA,NA,NA,6.9402357562366,India_SriLanka,bengal,22.56263,88.36304
1927-0008-IND,1927,0008,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1927,7,23,1927,7,23,56,10,40000,NA,40010,NA,NA,NA,6.8097801969089,India_SriLanka,gujarat,23.02579,72.58727
1927-0008-IND,1927,0008,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1927,7,23,1927,7,23,56,10,40000,NA,40010,NA,NA,NA,6.8097801969089,India_SriLanka,ahmedabad,23.02579,72.58727
1927-0008-IND,1927,0008,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1927,7,23,1927,7,23,56,10,40000,NA,40010,NA,NA,NA,6.8097801969089,India_SriLanka,baroda,22.29941,73.20812
