region,Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI,location_word,lat,long
Tanzania_Kenya,1964-0025-KEN,1964,0025,Natural,Hydrological,Flood,NA,NA,NA,Affect,Kenya,KEN,Eastern Africa,Africa,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1964,5,NA,1964,5,NA,NA,NA,15000,NA,15000,NA,NA,NA,12.1321174880359,nyanza,-0.5,34.5
Tanzania_Kenya,1964-0025-KEN,1964,0025,Natural,Hydrological,Flood,NA,NA,NA,Affect,Kenya,KEN,Eastern Africa,Africa,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1964,5,NA,1964,5,NA,NA,NA,15000,NA,15000,NA,NA,NA,12.1321174880359, western ,0.5,34.58333
Tanzania_Kenya,1964-0026-TZA,1964,0026,Natural,Hydrological,Flood,Riverine flood,NA,NA,Affect,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1964,5,NA,1964,5,NA,NA,NA,10000,3900,13900,NA,NA,NA,12.1321174880359,pangani river basin,NA,NA
Tanzania_Kenya,1967-9005-TZA,1967,9005,Natural,Climatological,Drought,Drought,NA,NA,NA,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,NA,NA,NA,Yes,No,No,NA,NA,Km2,NA,NA,NA,NA,1967,5,NA,1967,NA,NA,NA,NA,53483,NA,53483,NA,NA,NA,13.048062107494,nationwide,NA,NA
Tanzania_Kenya,1967-9005-TZA,1967,9005,Natural,Climatological,Drought,Drought,NA,NA,NA,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,NA,NA,NA,Yes,No,No,NA,NA,Km2,NA,NA,NA,NA,1967,5,NA,1967,NA,NA,NA,NA,53483,NA,53483,NA,NA,NA,13.048062107494, kilwa,-8.91047,39.50851
Tanzania_Kenya,1968-0043-KEN,1968,0043,Natural,Hydrological,Flood,NA,NA,NA,OFDA,Kenya,KEN,Eastern Africa,Africa,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1968,5,NA,1968,5,NA,NA,NA,NA,NA,NA,NA,NA,50,13.6054460870388,nyanza,-0.5,34.5
Tanzania_Kenya,1968-0043-KEN,1968,0043,Natural,Hydrological,Flood,NA,NA,NA,OFDA,Kenya,KEN,Eastern Africa,Africa,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1968,5,NA,1968,5,NA,NA,NA,NA,NA,NA,NA,NA,50,13.6054460870388, west ,1.75,35.25
Tanzania_Kenya,1968-0034-TZA,1968,0034,Natural,Hydrological,Flood,NA,NA,NA,Kill,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1968,3,NA,1968,3,NA,40,NA,57000,NA,57000,NA,NA,1000,13.6054460870388,rufiji river valley,NA,NA
Tanzania_Kenya,1971-9004-KEN,1971,9004,Natural,Climatological,Drought,Drought,NA,NA,NA,Kenya,KEN,Eastern Africa,Africa,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1971,1,NA,1971,NA,NA,NA,NA,150000,NA,150000,NA,NA,1500,15.8382546266338,countrywide,NA,NA
Tanzania_Kenya,1974-0023-TZA,1974,0023,Natural,Hydrological,Flood,NA,NA,NA,Kill,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1974,5,NA,1974,5,NA,25,NA,50000,18000,68000,NA,NA,3000,19.2868744704009,ulanga ,-8.98886,36.61331
Tanzania_Kenya,1978-0041-TZA,1978,0041,Natural,Hydrological,Flood,NA,NA,NA,Affect,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1978,3,NA,1978,3,NA,NA,NA,9000,NA,9000,NA,NA,NA,25.5159153234703,centre,-3.36778,36.69611
Tanzania_Kenya,1982-0107-KEN,1982,0107,Natural,Hydrological,Flood,Flash flood,NA,NA,Kill,Kenya,KEN,Eastern Africa,Africa,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1982,10,NA,1982,10,NA,75,NA,3000,NA,3000,NA,NA,NA,37.7458220769372, lake victoria,-1,33
Tanzania_Kenya,1979-0059-TZA,1979,0059,Natural,Hydrological,Flood,NA,NA,NA,Affect,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1979,6,NA,1979,6,NA,NA,NA,90000,NA,90000,NA,NA,NA,28.3875988971359,mbeya,-8.9,33.45
Tanzania_Kenya,1982-0078-TZA,1982,0078,Natural,Hydrological,Flood,NA,NA,NA,Affect,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1982,6,4,1982,6,4,NA,NA,40000,NA,40000,NA,NA,NA,37.7458220769372,mbeya ,-8.9,33.45
Tanzania_Kenya,1988-0146-TZA,1988,0146,Natural,Hydrological,Flood,NA,NA,NA,Affect,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1988,4,NA,1988,4,NA,NA,NA,6500,NA,6500,NA,NA,NA,46.256556831435,morogoro,-6.82102,37.66122
Tanzania_Kenya,1988-0146-TZA,1988,0146,Natural,Hydrological,Flood,NA,NA,NA,Affect,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1988,4,NA,1988,4,NA,NA,NA,6500,NA,6500,NA,NA,NA,46.256556831435, kilimanjaro,-3.07583,37.35333
Tanzania_Kenya,1988-0146-TZA,1988,0146,Natural,Hydrological,Flood,NA,NA,NA,Affect,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1988,4,NA,1988,4,NA,NA,NA,6500,NA,6500,NA,NA,NA,46.256556831435, iringa ,-7.76667,35.7
Tanzania_Kenya,1989-0053-TZA,1989,0053,Natural,Hydrological,Flood,NA,NA,NA,Kill,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1989,4,7,1989,4,7,10,NA,141056,NA,141056,NA,NA,NA,48.48936537103,mahurunga,-10.53244,40.31405
Tanzania_Kenya,1989-0053-TZA,1989,0053,Natural,Hydrological,Flood,NA,NA,NA,Kill,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1989,4,7,1989,4,7,10,NA,141056,NA,141056,NA,NA,NA,48.48936537103, kilambo,-8.55,33.8
Tanzania_Kenya,1989-0053-TZA,1989,0053,Natural,Hydrological,Flood,NA,NA,NA,Kill,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1989,4,7,1989,4,7,10,NA,141056,NA,141056,NA,NA,NA,48.48936537103, kihimika,NA,NA
Tanzania_Kenya,1989-0053-TZA,1989,0053,Natural,Hydrological,Flood,NA,NA,NA,Kill,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1989,4,7,1989,4,7,10,NA,141056,NA,141056,NA,NA,NA,48.48936537103, tangazo,-10.46554,40.31784
Tanzania_Kenya,1989-0053-TZA,1989,0053,Natural,Hydrological,Flood,NA,NA,NA,Kill,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1989,4,7,1989,4,7,10,NA,141056,NA,141056,NA,NA,NA,48.48936537103, kitunguli,-10.5,40.31667
