lat_box,lng_box,month_number,Disaster Type,enso_value,Event,num_disaster_months
-77.5,165,24258,Storm,NA,NA,1
-55,-70,23883,Flood,0.2,N,1
-52.5,-75,24035,Flood,1.1,+,2
-52.5,-75,24145,Wildfire,-0.8,-,3
-52.5,-75,24147,Flood,-0.4,-,1
-50,-75,23909,Storm,1,+,1
-50,-67.5,24193,Flood,2.3,+,2
-50,-67.5,24217,Flood,NA,NA,1
-47.5,-75,24185,Flood,0.8,+,1
-47.5,167.5,23620,Storm,-0.5,N,1
-47.5,167.5,23746,Flood,-0.3,N,2
-47.5,167.5,23761,Flood,0.6,+,1
-47.5,167.5,23894,Flood,0.3,N,1
-47.5,167.5,24211,Storm,-0.1,N,1
-47.5,167.5,24242,Flood,NA,NA,1
-45,-72.5,23970,Flood,1,+,1
-45,-72.5,24216,Landslide,NA,NA,1
-45,-72.5,24255,Wildfire,NA,NA,1
-45,-70,23845,Wildfire,1.1,+,1
-45,-70,23989,Wildfire,-1.4,-,1
-45,-70,24009,Storm,-0.6,-,1
-45,-70,24035,Flood,1.1,+,2
-45,-70,24055,Flood,0.5,+,1
-45,-70,24208,Flood,0.2,N,2
-45,-70,24255,Wildfire,NA,NA,1
-45,-67.5,24099,Flood,-1.4,-,3
-45,-67.5,24204,Flood,-0.7,-,1
-45,-67.5,24208,Flood,0.30000000000000004,N,3
-45,-67.5,24243,Drought,NA,NA,4
-45,-65,23594,Flood,1,+,1
-45,145,23720,Drought,-0.3,N,4
-45,145,24157,Wildfire,-0.4,N,1
-45,167.5,24242,Flood,NA,NA,1
-45,167.5,24250,Wildfire,NA,NA,1
-45,170,23756,Landslide,0.2,N,1
-45,170,23766,Flood,0.5,N,1
-45,170,23896,Flood,0.2,N,1
-45,170,23912,Storm,0.2,N,1
-45,170,23966,Flood,-0.4,N,1
-45,170,23999,Flood,-1.4,-,1
-45,170,24008,Flood,-0.5,-,1
-45,170,24010,Storm,-0.7,-,1
-45,170,24025,Flood,-0.2,N,1
-45,170,24063,Storm,0.5,N,1
-45,170,24076,Flood,-0.2,N,1
-45,170,24165,Storm,-0.2,N,1
-45,170,24195,Flood,1.6,+,1
-45,170,24208,Flood,0.4,N,1
-45,170,24211,Storm,-0.1,N,1
-45,170,24242,Flood,NA,NA,1
-45,170,24250,Wildfire,NA,NA,1
-45,170,24258,Flood,NA,NA,2
-42.5,-75,23758,Landslide,0.5,+,1
-42.5,-75,24006,Flood,-0.7,-,1
-42.5,-75,24017,Storm,-0.2,N,1
-42.5,-75,24035,Flood,1.1,+,2
-42.5,-75,24055,Flood,0.3,N,2
-42.5,-75,24105,Flood,-0.3,N,2
-42.5,-75,24174,Flood,0,N,1
-42.5,-75,24185,Flood,0.8,+,1
-42.5,-75,24210,Flood,0.2,N,1
-42.5,-75,24216,Landslide,NA,NA,1
-42.5,-75,24258,Flood,NA,NA,1
-42.5,-72.5,23945,Flood,0.2,N,1
-42.5,-72.5,24017,Storm,-0.2,N,1
-42.5,-72.5,24055,Flood,0.3,N,2
-42.5,-72.5,24216,Landslide,NA,NA,1
-42.5,-72.5,24255,Wildfire,NA,NA,1
-42.5,-70,23921,Flood,0.8,N,1
-42.5,-70,24255,Wildfire,NA,NA,1
-42.5,-65,23929,Wildfire,0.1,N,1
-42.5,145,23606,Wildfire,-0.5,N,1
-42.5,145,23746,Storm,-0.3,N,1
-42.5,145,23772,Storm,0,N,1
-42.5,145,23832,Flood,-0.3,N,1
-42.5,145,24076,Wildfire,-0.7,-,4
-42.5,145,24084,Wildfire,0.9,+,1
-42.5,145,24123,Storm,0.9,+,1
-42.5,145,24157,Wildfire,-0.4,N,1
-42.5,145,24198,Storm,0.1,N,1
-42.5,147.5,24157,Wildfire,-0.4,N,1
