lat_box,lng_box,month_number,Disaster Type,disaster,enso_value
-45,-67.5,24097,Flood,TRUE,-1.4
-45,-67.5,24098,Flood,TRUE,-1.3
-45,-67.5,24099,Flood,TRUE,-1.1
-45,-67.5,24240,Drought,TRUE,NA
-45,-67.5,24241,Drought,TRUE,NA
-45,-67.5,24242,Drought,TRUE,NA
-45,-67.5,24243,Drought,TRUE,NA
-45,145,23717,Drought,TRUE,-0.3
-45,145,23718,Drought,TRUE,-0.1
-45,145,23719,Drought,TRUE,0.1
-45,145,23720,Drought,TRUE,0.3
-42.5,145,24073,Wildfire,TRUE,-0.7
-42.5,145,24074,Wildfire,TRUE,-0.6
-42.5,145,24075,Wildfire,TRUE,-0.4
-42.5,145,24076,Wildfire,TRUE,-0.2
-42.5,172.5,24157,Drought,TRUE,-0.4
-42.5,172.5,24158,Drought,TRUE,-0.4
-42.5,172.5,24159,Drought,TRUE,-0.3
-42.5,172.5,24160,Drought,TRUE,-0.2
-42.5,172.5,24161,Drought,TRUE,-0.2
-40,-72.5,24205,Wildfire,TRUE,-0.4
-40,-72.5,24206,Wildfire,TRUE,-0.1
-40,-72.5,24207,Wildfire,TRUE,0.2
-40,172.5,24157,Drought,TRUE,-0.4
-40,172.5,24158,Drought,TRUE,-0.4
-40,172.5,24159,Drought,TRUE,-0.3
-40,172.5,24160,Drought,TRUE,-0.2
-40,172.5,24161,Drought,TRUE,-0.2
-40,175,24157,Drought,TRUE,-0.4
-40,175,24158,Drought,TRUE,-0.4
-40,175,24159,Drought,TRUE,-0.3
-40,175,24160,Drought,TRUE,-0.2
-40,175,24161,Drought,TRUE,-0.2
-40,177.5,24157,Drought,TRUE,-0.4
-40,177.5,24158,Drought,TRUE,-0.4
-40,177.5,24159,Drought,TRUE,-0.3
-40,177.5,24160,Drought,TRUE,-0.2
-40,177.5,24161,Drought,TRUE,-0.2
-37.5,-75,24205,Wildfire,TRUE,-0.4
-37.5,-75,24206,Wildfire,TRUE,-0.1
-37.5,-75,24207,Wildfire,TRUE,0.2
-37.5,-72.5,23624,Drought,TRUE,0.4
-37.5,-72.5,23625,Drought,TRUE,0.3
-37.5,-72.5,23626,Drought,TRUE,0.4
-37.5,-72.5,23627,Drought,TRUE,0.6
-37.5,-72.5,23628,Drought,TRUE,0.8
