Year,Month,enso_oni_value,month_num,month_number
1950,DJF,-1.1,1,23401
1950,JFM,-1.3,2,23402
1950,FMA,-1.2,3,23403
1950,MAM,-1.2,4,23404
1950,AMJ,-1.1,5,23405
1950,MJJ,-0.9,6,23406
1950,JJA,-0.5,7,23407
1950,JAS,-0.4,8,23408
1950,ASO,-0.4,9,23409
1950,SON,-0.4,10,23410
1950,OND,-0.6,11,23411
1950,NDJ,-0.8,12,23412
1951,DJF,-0.8,1,23413
1951,JFM,-0.5,2,23414
1951,FMA,-0.2,3,23415
1951,MAM,0.2,4,23416
1951,AMJ,0.4,5,23417
1951,MJJ,0.6,6,23418
1951,JJA,0.7,7,23419
1951,JAS,0.9,8,23420
1951,ASO,1,9,23421
1951,SON,1.2,10,23422
1951,OND,1,11,23423
1951,NDJ,0.8,12,23424
1952,DJF,0.5,1,23425
1952,JFM,0.4,2,23426
1952,FMA,0.3,3,23427
1952,MAM,0.3,4,23428
1952,AMJ,0.2,5,23429
1952,MJJ,0,6,23430
1952,JJA,-0.1,7,23431
1952,JAS,0,8,23432
1952,ASO,0.2,9,23433
1952,SON,0.1,10,23434
1952,OND,0,11,23435
1952,NDJ,0.1,12,23436
1953,DJF,0.4,1,23437
1953,JFM,0.6,2,23438
1953,FMA,0.6,3,23439
1953,MAM,0.7,4,23440
1953,AMJ,0.8,5,23441
1953,MJJ,0.8,6,23442
1953,JJA,0.7,7,23443
1953,JAS,0.7,8,23444
1953,ASO,0.8,9,23445
1953,SON,0.8,10,23446
1953,OND,0.8,11,23447
1953,NDJ,0.8,12,23448
1954,DJF,0.8,1,23449
1954,JFM,0.5,2,23450
1954,FMA,0,3,23451
1954,MAM,-0.4,4,23452
1954,AMJ,-0.5,5,23453
1954,MJJ,-0.5,6,23454
1954,JJA,-0.6,7,23455
1954,JAS,-0.8,8,23456
1954,ASO,-0.9,9,23457
1954,SON,-0.8,10,23458
1954,OND,-0.7,11,23459
1954,NDJ,-0.7,12,23460
1955,DJF,-0.7,1,23461
1955,JFM,-0.6,2,23462
1955,FMA,-0.7,3,23463
1955,MAM,-0.8,4,23464
1955,AMJ,-0.8,5,23465
1955,MJJ,-0.7,6,23466
1955,JJA,-0.7,7,23467
1955,JAS,-0.7,8,23468
1955,ASO,-1.1,9,23469
1955,SON,-1.4,10,23470
1955,OND,-1.7,11,23471
1955,NDJ,-1.5,12,23472
1956,DJF,-1.1,1,23473
1956,JFM,-0.8,2,23474
1956,FMA,-0.6,3,23475
1956,MAM,-0.5,4,23476
1956,AMJ,-0.5,5,23477
1956,MJJ,-0.5,6,23478
1956,JJA,-0.6,7,23479
1956,JAS,-0.6,8,23480
1956,ASO,-0.5,9,23481
1956,SON,-0.4,10,23482
1956,OND,-0.4,11,23483
1956,NDJ,-0.4,12,23484
1957,DJF,-0.2,1,23485
1957,JFM,0.1,2,23486
1957,FMA,0.4,3,23487
1957,MAM,0.7,4,23488
1957,AMJ,0.9,5,23489
1957,MJJ,1.1,6,23490
1957,JJA,1.3,7,23491
1957,JAS,1.3,8,23492
1957,ASO,1.3,9,23493
1957,SON,1.4,10,23494
1957,OND,1.5,11,23495
1957,NDJ,1.7,12,23496
1958,DJF,1.8,1,23497
1958,JFM,1.7,2,23498
1958,FMA,1.3,3,23499
1958,MAM,0.9,4,23500
1958,AMJ,0.7,5,23501
1958,MJJ,0.6,6,23502
1958,JJA,0.6,7,23503
1958,JAS,0.4,8,23504
1958,ASO,0.4,9,23505
1958,SON,0.4,10,23506
1958,OND,0.5,11,23507
1958,NDJ,0.6,12,23508
1959,DJF,0.6,1,23509
1959,JFM,0.6,2,23510
1959,FMA,0.5,3,23511
1959,MAM,0.3,4,23512
1959,AMJ,0.2,5,23513
1959,MJJ,-0.1,6,23514
1959,JJA,-0.2,7,23515
1959,JAS,-0.3,8,23516
1959,ASO,-0.1,9,23517
1959,SON,0,10,23518
1959,OND,0,11,23519
1959,NDJ,0,12,23520
1960,DJF,-0.1,1,23521
1960,JFM,-0.1,2,23522
1960,FMA,-0.1,3,23523
1960,MAM,0,4,23524
1960,AMJ,0,5,23525
1960,MJJ,0,6,23526
1960,JJA,0.1,7,23527
1960,JAS,0.2,8,23528
1960,ASO,0.3,9,23529
1960,SON,0.2,10,23530
1960,OND,0.1,11,23531
1960,NDJ,0.1,12,23532
1961,DJF,0,1,23533
1961,JFM,0,2,23534
1961,FMA,0,3,23535
1961,MAM,0.1,4,23536
1961,AMJ,0.2,5,23537
1961,MJJ,0.3,6,23538
1961,JJA,0.1,7,23539
1961,JAS,-0.1,8,23540
