Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations,location_word,uncertain_location_specificity,lat,lng
2021-0069-CHL,2021,0069,NA,Natural,Meteorological,Storm,Convective storm,Severe storm,NA,Chile,CHL,South America,Americas,"Santiago Metropolitan, O’Higgins, Valparaíso, Maule, Araucanía, and Bío Bío Regions",NA,Flood,"Slide (land, mud, snow, rock)",NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,2021,1,29,2021,2,2,NA,NA,521,NA,521,NA,NA,NA,NA,175000,189005,92.5901929309929,1;2,884;887;889;892;149630,12971,"Araucania, Biobio, Libertador Gral. Bernardo O'Higgins, Maule, Valparaiso (Adm1). Santiago (Adm2).",santiago metropolitan,FALSE,-33.45694,-70.64827
2021-0069-CHL,2021,0069,NA,Natural,Meteorological,Storm,Convective storm,Severe storm,NA,Chile,CHL,South America,Americas,"Santiago Metropolitan, O’Higgins, Valparaíso, Maule, Araucanía, and Bío Bío Regions",NA,Flood,"Slide (land, mud, snow, rock)",NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,2021,1,29,2021,2,2,NA,NA,521,NA,521,NA,NA,NA,NA,175000,189005,92.5901929309929,1;2,884;887;889;892;149630,12971,"Araucania, Biobio, Libertador Gral. Bernardo O'Higgins, Maule, Valparaiso (Adm1). Santiago (Adm2).",o’higgins,FALSE,-34.17083,-70.74444
2021-0069-CHL,2021,0069,NA,Natural,Meteorological,Storm,Convective storm,Severe storm,NA,Chile,CHL,South America,Americas,"Santiago Metropolitan, O’Higgins, Valparaíso, Maule, Araucanía, and Bío Bío Regions",NA,Flood,"Slide (land, mud, snow, rock)",NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,2021,1,29,2021,2,2,NA,NA,521,NA,521,NA,NA,NA,NA,175000,189005,92.5901929309929,1;2,884;887;889;892;149630,12971,"Araucania, Biobio, Libertador Gral. Bernardo O'Higgins, Maule, Valparaiso (Adm1). Santiago (Adm2).",valparaíso,FALSE,-33.036,-71.62963
2021-0069-CHL,2021,0069,NA,Natural,Meteorological,Storm,Convective storm,Severe storm,NA,Chile,CHL,South America,Americas,"Santiago Metropolitan, O’Higgins, Valparaíso, Maule, Araucanía, and Bío Bío Regions",NA,Flood,"Slide (land, mud, snow, rock)",NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,2021,1,29,2021,2,2,NA,NA,521,NA,521,NA,NA,NA,NA,175000,189005,92.5901929309929,1;2,884;887;889;892;149630,12971,"Araucania, Biobio, Libertador Gral. Bernardo O'Higgins, Maule, Valparaiso (Adm1). Santiago (Adm2).",maule,FALSE,-35.5,-71.5
2021-0069-CHL,2021,0069,NA,Natural,Meteorological,Storm,Convective storm,Severe storm,NA,Chile,CHL,South America,Americas,"Santiago Metropolitan, O’Higgins, Valparaíso, Maule, Araucanía, and Bío Bío Regions",NA,Flood,"Slide (land, mud, snow, rock)",NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,2021,1,29,2021,2,2,NA,NA,521,NA,521,NA,NA,NA,NA,175000,189005,92.5901929309929,1;2,884;887;889;892;149630,12971,"Araucania, Biobio, Libertador Gral. Bernardo O'Higgins, Maule, Valparaiso (Adm1). Santiago (Adm2).",araucanía,FALSE,-38.73965,-72.59842
2021-0069-CHL,2021,0069,NA,Natural,Meteorological,Storm,Convective storm,Severe storm,NA,Chile,CHL,South America,Americas,"Santiago Metropolitan, O’Higgins, Valparaíso, Maule, Araucanía, and Bío Bío Regions",NA,Flood,"Slide (land, mud, snow, rock)",NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,2021,1,29,2021,2,2,NA,NA,521,NA,521,NA,NA,NA,NA,175000,189005,92.5901929309929,1;2,884;887;889;892;149630,12971,"Araucania, Biobio, Libertador Gral. Bernardo O'Higgins, Maule, Valparaiso (Adm1). Santiago (Adm2).",bío bío,FALSE,-36.72494,-73.11684
2021-0351-CZE,2021,0351,NA,Natural,Meteorological,Storm,Convective storm,Severe storm,NA,Czech Republic (the),CZE,Eastern Europe,Europe,"Hodonin, Mikulcice, Moravska Nova Ves, Hrusky, Breclav, Tvrdonice, Luzice (South Moravian Region)",NA,Lightening,Hail,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,2021,6,24,2021,6,25,6,213,3600,NA,3813,NA,NA,NA,NA,701000,757100,92.5901929309929,2,NA,14821;14824,"Breclav, Hodonin (Adm2).",hodonin,TRUE,48.84893,17.13244
2021-0351-CZE,2021,0351,NA,Natural,Meteorological,Storm,Convective storm,Severe storm,NA,Czech Republic (the),CZE,Eastern Europe,Europe,"Hodonin, Mikulcice, Moravska Nova Ves, Hrusky, Breclav, Tvrdonice, Luzice (South Moravian Region)",NA,Lightening,Hail,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,2021,6,24,2021,6,25,6,213,3600,NA,3813,NA,NA,NA,NA,701000,757100,92.5901929309929,2,NA,14821;14824,"Breclav, Hodonin (Adm2).",mikulcice,TRUE,48.81643,17.05107
2021-0351-CZE,2021,0351,NA,Natural,Meteorological,Storm,Convective storm,Severe storm,NA,Czech Republic (the),CZE,Eastern Europe,Europe,"Hodonin, Mikulcice, Moravska Nova Ves, Hrusky, Breclav, Tvrdonice, Luzice (South Moravian Region)",NA,Lightening,Hail,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,2021,6,24,2021,6,25,6,213,3600,NA,3813,NA,NA,NA,NA,701000,757100,92.5901929309929,2,NA,14821;14824,"Breclav, Hodonin (Adm2).",moravska nova ves,TRUE,48.80304,17.01371
2021-0351-CZE,2021,0351,NA,Natural,Meteorological,Storm,Convective storm,Severe storm,NA,Czech Republic (the),CZE,Eastern Europe,Europe,"Hodonin, Mikulcice, Moravska Nova Ves, Hrusky, Breclav, Tvrdonice, Luzice (South Moravian Region)",NA,Lightening,Hail,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,2021,6,24,2021,6,25,6,213,3600,NA,3813,NA,NA,NA,NA,701000,757100,92.5901929309929,2,NA,14821;14824,"Breclav, Hodonin (Adm2).",hrusky,TRUE,48.79272,16.97404
