lat_box,lng_box,half_year,risk_factor,relative_risk_cleaned,relative_risk_cleaned_truncatedat2
-55,-70,fall_winter,positive_wet_relative_risk,0,0
-55,-70,fall_winter,negative_wet_relative_risk,0,0
-55,-70,fall_winter,positive_dry_relative_risk,1,1
-55,-70,fall_winter,negative_dry_relative_risk,1,1
-55,-67.5,spring_summer,positive_wet_relative_risk,1,1
-55,-67.5,spring_summer,negative_wet_relative_risk,1,1
-55,-67.5,spring_summer,positive_dry_relative_risk,0,0
-55,-67.5,spring_summer,negative_dry_relative_risk,0.7200000000000001,0.7200000000000001
-52.5,-75,fall_winter,positive_wet_relative_risk,18,2
-52.5,-75,fall_winter,negative_wet_relative_risk,18,2
-52.5,-75,fall_winter,positive_dry_relative_risk,1,1
-52.5,-75,fall_winter,negative_dry_relative_risk,18,2
-52.5,-75,spring_summer,positive_wet_relative_risk,1,1
-52.5,-75,spring_summer,negative_wet_relative_risk,1,1
-52.5,-75,spring_summer,positive_dry_relative_risk,18,2
-52.5,-75,spring_summer,negative_dry_relative_risk,1,1
-50,-75,spring_summer,positive_wet_relative_risk,18,2
-50,-75,spring_summer,negative_wet_relative_risk,1,1
-50,-75,spring_summer,positive_dry_relative_risk,1,1
-50,-75,spring_summer,negative_dry_relative_risk,1,1
-50,-67.5,fall_winter,positive_wet_relative_risk,18,2
-50,-67.5,fall_winter,negative_wet_relative_risk,1,1
-50,-67.5,fall_winter,positive_dry_relative_risk,1,1
-50,-67.5,fall_winter,negative_dry_relative_risk,1,1
-47.5,-75,spring_summer,positive_wet_relative_risk,18,2
-47.5,-75,spring_summer,negative_wet_relative_risk,1,1
-47.5,-75,spring_summer,positive_dry_relative_risk,1,1
-47.5,-75,spring_summer,negative_dry_relative_risk,1,1
-47.5,167.5,fall_winter,positive_wet_relative_risk,0.40512820512820513,0.40512820512820513
-47.5,167.5,fall_winter,negative_wet_relative_risk,0,0
-47.5,167.5,fall_winter,positive_dry_relative_risk,1,1
-47.5,167.5,fall_winter,negative_dry_relative_risk,1,1
-47.5,167.5,spring_summer,positive_wet_relative_risk,0,0
-47.5,167.5,spring_summer,negative_wet_relative_risk,0,0
-47.5,167.5,spring_summer,positive_dry_relative_risk,1,1
-47.5,167.5,spring_summer,negative_dry_relative_risk,1,1
-45,-72.5,spring_summer,positive_wet_relative_risk,18,2
-45,-72.5,spring_summer,negative_wet_relative_risk,1,1
-45,-72.5,spring_summer,positive_dry_relative_risk,1,1
-45,-72.5,spring_summer,negative_dry_relative_risk,1,1
-45,-70,spring_summer,positive_wet_relative_risk,1.186813186813187,1.186813186813187
-45,-70,spring_summer,negative_wet_relative_risk,1.08,1.08
-45,-70,spring_summer,positive_dry_relative_risk,0,0
-45,-70,spring_summer,negative_dry_relative_risk,0.54,0.54
-45,-70,fall_winter,positive_wet_relative_risk,18,2
-45,-70,fall_winter,negative_wet_relative_risk,1,1
-45,-70,fall_winter,positive_dry_relative_risk,18,2
-45,-70,fall_winter,negative_dry_relative_risk,18,2
-45,-67.5,spring_summer,positive_wet_relative_risk,0,0
-45,-67.5,spring_summer,negative_wet_relative_risk,0,0
-45,-67.5,spring_summer,positive_dry_relative_risk,1,1
-45,-67.5,spring_summer,negative_dry_relative_risk,1,1
-45,-67.5,fall_winter,positive_wet_relative_risk,1,1
-45,-67.5,fall_winter,negative_wet_relative_risk,18,2
-45,-67.5,fall_winter,positive_dry_relative_risk,1,1
-45,-67.5,fall_winter,negative_dry_relative_risk,1,1
-45,-65,spring_summer,positive_wet_relative_risk,1,1
-45,-65,spring_summer,negative_wet_relative_risk,1,1
-45,-65,spring_summer,positive_dry_relative_risk,1,1
-45,-65,spring_summer,negative_dry_relative_risk,18,2
-45,-65,fall_winter,positive_wet_relative_risk,18,2
-45,-65,fall_winter,negative_wet_relative_risk,1,1
