Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations,location_word,uncertain_location_specificity,lat,lng
1988-0492-MAR,1988,0492,NA,Natural,Biological,Insect infestation,Locust,NA,Desert locust,Morocco,MAR,Northern Africa,Africa,South,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,11,NA,1988,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.256556831435,NA,NA,NA,NA,south,FALSE,30.32546,-9.50169
1988-0045-MEX,1988,0045,NA,Natural,Meteorological,Storm,NA,NA,NA,Mexico,MEX,Central America,Americas,Ensenada,NA,NA,NA,NA,NA,NA,NA,140,Kph,NA,NA,NA,NA,1988,1,17,1988,1,17,NA,NA,NA,NA,NA,NA,NA,250000,46.256556831435,NA,NA,NA,NA,ensenada,FALSE,31.87149,-116.60071
1988-0245-MLI,1988,0245,NA,Natural,Biological,Epidemic,Bacterial disease,NA,NA,Mali,MLI,Western Africa,Africa,Bamako,NA,NA,NA,NA,NA,NA,NA,NA,Vaccinated,NA,NA,NA,NA,1988,6,NA,1988,6,NA,47,NA,159,NA,159,NA,NA,NA,46.256556831435,NA,NA,NA,NA,bamako,FALSE,12.65,-8
1988-0147-MLI,1988,0147,NA,Natural,Biological,Insect infestation,Locust,NA,"Locust, Grassshoppers",Mali,MLI,Western Africa,Africa,"Eastern, Western",NA,NA,NA,Yes,NA,NA,NA,8710,NA,NA,NA,NA,NA,1988,4,NA,1988,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.256556831435,NA,NA,NA,NA,eastern,FALSE,NA,NA
1988-0147-MLI,1988,0147,NA,Natural,Biological,Insect infestation,Locust,NA,"Locust, Grassshoppers",Mali,MLI,Western Africa,Africa,"Eastern, Western",NA,NA,NA,Yes,NA,NA,NA,8710,NA,NA,NA,NA,NA,1988,4,NA,1988,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.256556831435,NA,NA,NA,NA,western,FALSE,12.65,-8
1988-0342-MLI,1988,0342,NA,Natural,Hydrological,Flood,NA,NA,NA,Mali,MLI,Western Africa,Africa,"Bamako, Segou, Koulikorou",NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1988,8,NA,1988,8,NA,17,NA,NA,10000,10000,NA,NA,NA,46.256556831435,NA,NA,NA,NA,bamako,FALSE,12.65,-8
1988-0342-MLI,1988,0342,NA,Natural,Hydrological,Flood,NA,NA,NA,Mali,MLI,Western Africa,Africa,"Bamako, Segou, Koulikorou",NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1988,8,NA,1988,8,NA,17,NA,NA,10000,10000,NA,NA,NA,46.256556831435,NA,NA,NA,NA,segou,FALSE,13.44032,-6.25947
1988-0342-MLI,1988,0342,NA,Natural,Hydrological,Flood,NA,NA,NA,Mali,MLI,Western Africa,Africa,"Bamako, Segou, Koulikorou",NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1988,8,NA,1988,8,NA,17,NA,NA,10000,10000,NA,NA,NA,46.256556831435,NA,NA,NA,NA,koulikorou,FALSE,NA,NA
1988-0102-MOZ,1988,0102,NA,Natural,Meteorological,Storm,Tropical cyclone,NA,Filao,Mozambique,MOZ,Eastern Africa,Africa,Quelimane,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1988,3,1,1988,3,1,100,NA,4000,NA,4000,NA,NA,NA,46.256556831435,NA,NA,NA,NA,quelimane,FALSE,-17.87861,36.88833
1988-0033-MOZ,1988,0033,NA,Natural,Biological,Insect infestation,NA,NA,NA,Mozambique,MOZ,Eastern Africa,Africa,"Maputo, Niassa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,NA,NA,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.256556831435,NA,NA,NA,NA,maputo,FALSE,-25.96553,32.58322
