Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations,location_word,uncertain_location_specificity,lat,lng
1990-0115-HND,1990,0115,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Honduras,HND,Central America,Americas,"Choloma, Villanueva, Pimienta, Potrerillos (Cortes Department), El Progreso, Santa Rita (Yoro Department), Brus Laguna, Puerto Lempira (Gracias a Dios department)",Heavy rain,NA,NA,Yes,No,No,NA,41830,Km2,NA,NA,NA,NA,1990,11,9,1990,11,21,5,NA,42000,6000,48000,NA,NA,100000,51.1067950003987,NA,NA,NA,NA,cortes,TRUE,15.61444,-87.95302
1990-0115-HND,1990,0115,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Honduras,HND,Central America,Americas,"Choloma, Villanueva, Pimienta, Potrerillos (Cortes Department), El Progreso, Santa Rita (Yoro Department), Brus Laguna, Puerto Lempira (Gracias a Dios department)",Heavy rain,NA,NA,Yes,No,No,NA,41830,Km2,NA,NA,NA,NA,1990,11,9,1990,11,21,5,NA,42000,6000,48000,NA,NA,100000,51.1067950003987,NA,NA,NA,NA,el progreso,TRUE,15.4,-87.8
1990-0115-HND,1990,0115,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Honduras,HND,Central America,Americas,"Choloma, Villanueva, Pimienta, Potrerillos (Cortes Department), El Progreso, Santa Rita (Yoro Department), Brus Laguna, Puerto Lempira (Gracias a Dios department)",Heavy rain,NA,NA,Yes,No,No,NA,41830,Km2,NA,NA,NA,NA,1990,11,9,1990,11,21,5,NA,42000,6000,48000,NA,NA,100000,51.1067950003987,NA,NA,NA,NA,santa rita,TRUE,14.76015,-88.26782
1990-0115-HND,1990,0115,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Honduras,HND,Central America,Americas,"Choloma, Villanueva, Pimienta, Potrerillos (Cortes Department), El Progreso, Santa Rita (Yoro Department), Brus Laguna, Puerto Lempira (Gracias a Dios department)",Heavy rain,NA,NA,Yes,No,No,NA,41830,Km2,NA,NA,NA,NA,1990,11,9,1990,11,21,5,NA,42000,6000,48000,NA,NA,100000,51.1067950003987,NA,NA,NA,NA,yoro,TRUE,15.4,-87.8
1990-0115-HND,1990,0115,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Honduras,HND,Central America,Americas,"Choloma, Villanueva, Pimienta, Potrerillos (Cortes Department), El Progreso, Santa Rita (Yoro Department), Brus Laguna, Puerto Lempira (Gracias a Dios department)",Heavy rain,NA,NA,Yes,No,No,NA,41830,Km2,NA,NA,NA,NA,1990,11,9,1990,11,21,5,NA,42000,6000,48000,NA,NA,100000,51.1067950003987,NA,NA,NA,NA,brus laguna,TRUE,15.7631,-84.5436
1990-0115-HND,1990,0115,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Honduras,HND,Central America,Americas,"Choloma, Villanueva, Pimienta, Potrerillos (Cortes Department), El Progreso, Santa Rita (Yoro Department), Brus Laguna, Puerto Lempira (Gracias a Dios department)",Heavy rain,NA,NA,Yes,No,No,NA,41830,Km2,NA,NA,NA,NA,1990,11,9,1990,11,21,5,NA,42000,6000,48000,NA,NA,100000,51.1067950003987,NA,NA,NA,NA,puerto lempira,TRUE,15.26231,-83.78118
1990-0115-HND,1990,0115,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Honduras,HND,Central America,Americas,"Choloma, Villanueva, Pimienta, Potrerillos (Cortes Department), El Progreso, Santa Rita (Yoro Department), Brus Laguna, Puerto Lempira (Gracias a Dios department)",Heavy rain,NA,NA,Yes,No,No,NA,41830,Km2,NA,NA,NA,NA,1990,11,9,1990,11,21,5,NA,42000,6000,48000,NA,NA,100000,51.1067950003987,NA,NA,NA,NA,gracias a dios,TRUE,15.25,-84.33333
1990-0017-IDN,1990,0017,NA,Natural,Geophysical,Earthquake,Ground movement,NA,NA,Indonesia,IDN,South-Eastern Asia,Asia,Minahassa Peninsula (Sulawesi Isl.),NA,NA,NA,NA,NA,NA,NA,8,Richter,1.186,122.857,21:39,NA,1990,4,18,1990,4,18,5,36,7000,NA,7036,NA,NA,NA,51.1067950003987,NA,NA,NA,NA,minahassa peninsula,TRUE,1,124.58333
1990-0017-IDN,1990,0017,NA,Natural,Geophysical,Earthquake,Ground movement,NA,NA,Indonesia,IDN,South-Eastern Asia,Asia,Minahassa Peninsula (Sulawesi Isl.),NA,NA,NA,NA,NA,NA,NA,8,Richter,1.186,122.857,21:39,NA,1990,4,18,1990,4,18,5,36,7000,NA,7036,NA,NA,NA,51.1067950003987,NA,NA,NA,NA,sulawesi isl.,TRUE,-2.13154,120.28888
1990-0702-IDN,1990,0702,NA,Natural,Geophysical,Earthquake,Ground movement,NA,NA,Indonesia,IDN,South-Eastern Asia,Asia,"Kuningan, Majalenga, Sumedang area (Java)",NA,NA,NA,NA,No,No,NA,6,Richter,9.904 S,101.120 E,NA,NA,1990,7,6,1990,7,6,NA,103,NA,NA,103,NA,NA,NA,51.1067950003987,NA,NA,NA,NA,kuningan,TRUE,-7,108.55
